arrived_date,arrived_hour,arrived_minute,record_count
2018-06-07 13:00:14.743,13,0,383
2018-06-08 13:00:13.653,13,0,394
2018-06-09 09:30:16.093,9,30,325
2018-06-10 08:30:06.937,8,30,1
2018-06-11 15:30:06.983,15,30,12
2018-06-12 13:00:08.060,13,0,341
2018-06-13 10:00:13.210,10,0,372
2018-06-14 12:00:09.780,12,0,328
2018-06-15 11:00:07.093,11,0,326
2018-06-16 09:00:10.040,9,0,289
2018-06-17 08:30:04.757,8,30,24
2018-06-18 14:00:08.623,14,0,4
2018-06-19 11:00:14.570,11,0,335
2018-06-20 10:30:11.550,10,30,346
2018-06-21 14:30:08.650,14,30,385
2018-06-22 13:00:09.913,13,0,391
2018-06-23 09:00:06.200,9,0,297
2018-06-24 09:00:06.200,8,18,9
2018-06-25 13:30:06.273,13,30,17
2018-06-26 15:00:07.077,15,0,361
2018-06-27 12:30:12.497,12,30,386
2018-06-28 14:00:16.160,14,0,504
2018-06-29 16:30:10.157,16,30,480
2018-06-30 09:30:03.293,9,30,429
2018-07-08 07:30:06.750,7,30,3
2018-07-09 13:30:07.377,13,30,58
2018-07-10 13:30:07.377,10,10,312
2018-07-11 14:30:16.483,14,30,274
2018-07-12 11:30:21.490,11,30,362
2018-07-13 10:30:16.137,10,30,355
2018-07-14 08:30:07.977,8,30,343
2018-07-15 08:30:13.100,8,30,19
2018-07-16 12:30:09.803,12,30,11
2018-07-17 10:00:11.953,10,0,328
2018-07-18 10:00:06.867,10,0,358
2018-07-19 10:30:12.920,10,30,369
2018-07-20 11:00:08.060,11,0,320
2018-07-21 09:30:06.267,9,30,304
2018-07-22 09:00:09.063,9,0,23
2018-07-23 13:00:13.040,13,0,24
2018-07-24 11:30:07.930,11,30,329
2018-07-25 12:00:15.627,12,0,332
2018-07-26 13:30:05.133,13,30,396
2018-07-27 15:00:14.770,15,0,328
2018-07-28 09:00:11.373,9,0,282
2018-07-29 08:30:12.870,8,30,9
2018-07-30 13:30:07.730,13,30,30
2018-07-31 15:30:07.217,15,30,375
2018-08-01 15:30:07.217,11,12,344
2018-08-02 16:00:14.460,16,0,272
2018-08-03 14:00:08.973,14,0,286
2018-08-04 09:30:01.053,9,30,282
2018-08-05 09:30:02.380,9,30,2
2018-08-06 16:00:12.360,16,0,12
2018-08-07 11:00:11.703,11,0,335
2018-08-08 11:30:11.667,11,30,346
2018-08-09 10:30:13.620,10,30,298
2018-08-10 12:30:06.577,12,30,316
2018-08-11 09:30:05.553,9,30,289
2018-08-12 09:30:11.373,9,30,6
2018-08-13 11:00:14.163,11,0,30
2018-08-14 10:00:14.383,10,0,300
2018-08-15 09:00:15.730,9,0,288
2018-08-16 12:00:11.093,12,0,265
2018-08-17 12:00:07.877,12,0,296
2018-08-18 09:00:07.137,9,0,269
2018-08-19 08:30:03.187,8,30,5
2018-08-20 11:30:12.387,11,30,14
2018-08-21 12:00:05.470,12,0,264
